,URLS,Text
42,https://i.pinimg.com/originals/72/b6/ad/72b6ad2b62b1e088b95c3557250ebd01.jpg,ma%21|यहाँ सब...सभी को जानते हैं...ज़नाब;यहाँ कोई...खुद को नहीं जानता...^
43,https://i.pinimg.com/originals/d5/7a/1e/d57a1e7b8b8bf9816eed68df7542bb9c.jpg,"धोखा खाने वाला इतनानहीं गंवाता, जितनाधोखा देने वाला गंवा लेता"
44,https://i.pinimg.com/originals/4a/8b/b7/4a8bb7843739c7faa525adeb788d54ee.jpg,प्यर फरनऔर जीनाउन्हें कभी नहीं आयेगाजिन्हें ज़िंदगी नेबनिया बना दिया.
45,https://i.pinimg.com/originals/2d/de/00/2dde008013adf3e413f0d2790cdadeb3.jpg,"में अगर छोड़ने जैसा कुछहैं॰,, iisanhetतोंसे उम्मीद करनादो... !!दुनियांदुसरोछोड़"
46,https://i.pinimg.com/originals/d9/1e/06/d91e06bc85b73e720f030afffb3bce9d.jpg,जब भीयादों का वजन ज्यादाहोता हैंतब ही मन ज़रा  उदास होताहैंपुरानी 
47,https://i.pinimg.com/originals/69/5b/b3/695bb31a41c8541d83e881790d008ad3.jpg,"बहुत शौक था सब को जोङके रखने का,होश तब आया, जब अपनेवजूद केदेखे..टुकडे"
48,https://i.pinimg.com/originals/fe/08/65/fe0865d7bfec4ee286bacb032604f787.jpg,"कभी ख़ुद ही ख़ुद सेतो कभी ख़ुद के लिए लड़ते रहेज़िन्दगी, ज़िन्दगी ना रहीकोई जंग रही हो जैसे."
49,https://i.pinimg.com/originals/98/da/f7/98daf79e8d4ebf67f59a14c6b2e3eb15.jpg,सौ सौ उमीदें बंधती हैइक इक निगाह परमुझ को न ऐसे प्यार सेदेखा करे कोई...
50,https://i.pinimg.com/originals/e6/1d/4e/e61d4e6ea4005ab72d198701f4226400.jpg,जब दिमाग से डर और उम्मिदख़तम हो जाती है तो जीवनबहुत शांत और सरल लगनेलगता है
51,https://i.pinimg.com/originals/d2/c0/55/d2c0550c0b4d85c6d8685dbe19633be3.jpg,उस इंसान को कभी भीमत भूलना..जब हर कोई बहाने बनारहा था और वो आपकेसाथ खड़ा रहा..
52,https://i.pinimg.com/originals/a0/95/19/a09519c028bbfd2d133bf7959f59643d.jpg,NA
53,https://i.pinimg.com/originals/81/b7/c0/81b7c03e688fc8ab9d11cf7d5c24d0ed.jpg,सुंदरता होती है मन कीतन तो पैराहन होता है॰
54,https://i.pinimg.com/originals/83/b4/e7/83b4e7891339aefd719ec4a3dc643ce1.jpg,जो भीड़ में भी गुम ना होजो ख़र्च कर के कम ना होवो प्रेम हैIहिन्दी पंक्तियाँवरुण ग्रोवर
55,https://i.pinimg.com/originals/b8/f6/3e/b8f63e5bafd372f3fb0ff438aaf2cd8a.jpg,भर के नज़र यार न देखा कभीजब गया आँख ही भर कर गया
56,https://i.pinimg.com/originals/44/81/17/44811733543af2cd29944aafac427d00.jpg,"मिलने को तो हर शख्सएहतेराम से मिला...पर जो भी मिला, किसीन किसी काम से मिला..."
57,https://i.pinimg.com/originals/f4/0e/a4/f40ea43f6d6124735abdb6c8b3171011.jpg,मैंने रब को खुश रखा हैजिसने सब को खुश रखा हैvijay
58,https://i.pinimg.com/originals/fd/07/0c/fd070c89d38e850bf92d817cbb011c30.jpg,"यूं तो आदत नहीं मुड़कर देखने की,तुम्हें देखा तो लगा एक बार और देख लूं!!"
59,https://i.pinimg.com/originals/17/99/9a/17999ae81a0a4032385624f02cdee96d.jpg,तिरे रहते तो क्याहोते किसी केतुझे खो कर भीदुनिया के नहीं हम..
60,https://i.pinimg.com/originals/45/99/b1/4599b11f9328c0c31b007af1dff1e1d2.jpg,किसी की भावनाओं के साथ प्रयोग मत कीजिए.किसी का जीवन.आपकी प्रयोगशाला नहीं हैपायल
61,https://i.pinimg.com/originals/51/ab/d4/51abd49fd32669601d022eac59794e90.jpg,वो ज़हर देता तो सब कीनिगाह में आ जातासो ये किया कि मुझेवक़्त पे दवाएँ न दींअख़्तर नज़्मीZindagiCalling
62,https://i.pinimg.com/originals/da/60/37/da603786a768e8ce99acf60bb6eea875.jpg,जो गया मुझे छौड़ करवो आज तक मेरे साथ है..
63,https://i.pinimg.com/originals/36/5a/e6/365ae677be2d0eb5484db2222f84b8ba.jpg,यादें रह जाती हैयाद करने केऔर वक्त़सब लेकर गुज़र जाता है॰.लिए
64,https://i.pinimg.com/originals/79/07/73/790773892a36f9cee4ed08611ee2d7b7.jpg,काश!यादें रेत होतींमुट्ठी सेनिकल जातीं.मैं पैरों से उड़ा देता
65,https://i.pinimg.com/originals/2a/db/69/2adb6925b40f1e7ec34f138024e19ebc.jpg,"ईश्वर से हमेशा यही प्रार्थनाकरो की, हे ईश्वर मुझेअधिक लेने के नहीं, अधिकदेने के योग्य बनाओ"
66,https://i.pinimg.com/originals/e1/6a/fa/e16afa277ef26c4d56e52fc4be0e98b4.jpg,हमारी आस्था की परीक्षा तबहैजब हम जो चाहे वो न मिले औरफिर भी हमारे दिल से प्रभु केशुक्रिया ही निकले.होतीलिए
67,https://i.pinimg.com/originals/02/d1/75/02d175c3e96d9cdff2698bd9061689f4.jpg,"मनुष्य को अपनी ओरखींचने वाला यदिदुनिया में कोई असलीशक्ति है., तोवह है आपका प्रेमआपका व्यवहार (और.॰"
68,https://i.pinimg.com/originals/ad/ee/6d/adee6d7758cf9affb3bf35140896c998.jpg,@buddhagyaanज्यादा मत सोचोबस वही करें जिससेआपकोमिलेखुशी
69,https://i.pinimg.com/originals/c4/f5/c1/c4f5c1b435d7cfc9adb0a33773cd5266.jpg,अंदाज ऐसा रखो की कोईअंदाजा न लगा पाएz2
70,https://i.pinimg.com/originals/b3/5d/b5/b35db58098964bfa679dbd074a49d100.jpg,अपने अधिकारको छोड़के अधिकारकोप्रतिष्ठित करना ही दान हैदूसेरे
71,https://i.pinimg.com/originals/b3/5d/b5/b35db58098964bfa679dbd074a49d100.jpg,अपने अधिकारको छोड़के अधिकारकोप्रतिष्ठित करना ही दान हैदूसेरे
72,https://i.pinimg.com/originals/c4/f5/c1/c4f5c1b435d7cfc9adb0a33773cd5266.jpg,अंदाज ऐसा रखो की कोईअंदाजा न लगा पाएz2
73,https://i.pinimg.com/originals/db/3c/0c/db3c0c32d8e82066d71d4b9740675c0c.jpg,खोती हुई चीज़ें हमेशा सुंदर होती हैं.
74,https://i.pinimg.com/originals/16/90/d9/1690d943167373fa624fed434c631821.jpg,NA
75,https://i.pinimg.com/originals/f0/f4/b9/f0f4b9b1fd4ae59a68a74b88eebe233f.png,NA
76,https://i.pinimg.com/originals/03/c4/a4/03c4a4610ca5de72c6de91f79dd68d7b.jpg,NA
77,https://i.pinimg.com/originals/1e/87/9b/1e879b56671a2e7c14814352b1e2d9a6.jpg,8%5५0
78,https://i.pinimg.com/originals/6c/e5/9e/6ce59e09bcc5df7f684fc462517d3f60.jpg,"""""40ma[4al4720512Baon toen % vo 0"
